xflr5 v6.59

Aetheria
T1-83.3 m/s-VLM1
QInf  =,   83.300000 ,m/s
Alpha = ,   3.100000
Beta  = ,   0.000°
Phi   = ,   0.000°
Ctrl  = ,   0.000
CL    = ,   0.432987
Cy    = ,   0.000000
Cd=,   0.012107,ICd=,    0.006955,PCd=,    0.005153
Cl   = ,-8.82067e-18
Cm   =,   -0.197281
ICn=,   -0.000000,PCn=,   -0.000000
XCP=,    0.557443, YCP=,   -0.000000, ZCP=,    0.016093 
XNP=,    0.000000
Bending =,    0.000000

Main Wing
  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
   -4.8365,   0.6605, -1.976, 0.116368, 0.005609, 0.006989,-0.093664,-0.020896, 0.5757, 0.2452, 0.4292, 0.0000
   -4.8067,   0.6666, -1.833, 0.179646, 0.005523, 0.006258,-0.138305,-0.026886, 0.5412, 0.2998, 0.3989, 0.1415
   -4.7473,   0.6788, -1.650, 0.245692, 0.005424, 0.007211,-0.183809,-0.034219, 0.5070, 0.3673, 0.3885, 1.7391
   -4.6585,   0.6969, -1.450, 0.302849, 0.005296, 0.007710,-0.219678,-0.040133, 0.4787, 0.4451, 0.3818, 8.6611
   -4.5411,   0.7208, -1.260, 0.349160, 0.005204, 0.007695,-0.244499,-0.044425, 0.4559, 0.5063, 0.3765,28.4006
   -4.3957,   0.7505, -1.097, 0.385002, 0.005146, 0.007374,-0.259225,-0.047373, 0.4370, 0.5506, 0.3723,72.7642
   -4.2231,   0.7858, -0.966, 0.411713, 0.005107, 0.006943,-0.265705,-0.049338, 0.4217, 0.5769, 0.3691,158.2088
   -4.0245,   0.8263, -0.869, 0.430912, 0.005095, 0.006532,-0.265950,-0.050629, 0.4079, 0.5890, 0.3668,305.8951
   -3.8011,   0.8719, -0.801, 0.444135, 0.005088, 0.006207,-0.261766,-0.051470, 0.3959, 0.5901, 0.3652,541.5075
   -3.5543,   0.9223, -0.759, 0.452688, 0.005091, 0.005992,-0.254622,-0.052009, 0.3859, 0.5855, 0.3642,894.8659
   -3.2856,   0.9772, -0.738, 0.457602, 0.005099, 0.005889,-0.245636,-0.052345, 0.3780, 0.5788, 0.3637,1399.3329
   -2.9966,   1.0362, -0.734, 0.459660, 0.005108, 0.005887,-0.235622,-0.052538, 0.3709, 0.5673, 0.3636,2091.0081
   -2.6891,   1.0990, -0.745, 0.459431, 0.005118, 0.005974,-0.225146,-0.052626, 0.3649, 0.5519, 0.3638,3007.7018
   -2.3651,   1.1651, -0.769, 0.457312, 0.005127, 0.006136,-0.214584,-0.052631, 0.3595, 0.5330, 0.3644,4187.6897
   -2.0264,   1.2343, -0.804, 0.453562, 0.005138, 0.006365,-0.204173,-0.052564, 0.3548, 0.5111, 0.3652,5668.2614
   -1.6753,   1.3060, -0.850, 0.448328, 0.005145, 0.006653,-0.194040,-0.052425, 0.3517, 0.4890, 0.3662,7484.0903
   -1.3138,   1.3798, -0.908, 0.441656, 0.005153, 0.006999,-0.184233,-0.052203, 0.3497, 0.4656, 0.3675,9665.4709
   -0.9443,   1.4552, -0.980, 0.433486, 0.005163, 0.007411,-0.174723,-0.051871, 0.3489, 0.4399, 0.3689,12236.4747
   -0.5689,   1.5318, -1.072, 0.423603, 0.005169, 0.007928,-0.165385,-0.051354, 0.3500, 0.4156, 0.3705,15213.0848
   -0.1900,   1.6092, -1.213, 0.411392, 0.005175, 0.008729,-0.155836,-0.050429, 0.3515, 0.3911, 0.3719,18601.3352
    0.1900,   1.6092, -1.213, 0.411392, 0.005175, 0.008729,-0.155836,-0.050429, 0.3515, 0.3911, 0.3719,18601.3351
    0.5689,   1.5318, -1.072, 0.423603, 0.005169, 0.007928,-0.165385,-0.051354, 0.3500, 0.4156, 0.3705,15213.0847
    0.9443,   1.4552, -0.980, 0.433486, 0.005163, 0.007411,-0.174723,-0.051871, 0.3489, 0.4399, 0.3689,12236.4746
    1.3138,   1.3798, -0.908, 0.441656, 0.005153, 0.006999,-0.184233,-0.052203, 0.3497, 0.4656, 0.3675,9665.4708
    1.6753,   1.3060, -0.850, 0.448328, 0.005145, 0.006653,-0.194040,-0.052425, 0.3517, 0.4890, 0.3662,7484.0902
    2.0264,   1.2343, -0.804, 0.453562, 0.005138, 0.006365,-0.204173,-0.052564, 0.3548, 0.5111, 0.3652,5668.2613
    2.3651,   1.1651, -0.769, 0.457312, 0.005127, 0.006136,-0.214584,-0.052631, 0.3595, 0.5330, 0.3644,4187.6897
    2.6891,   1.0990, -0.745, 0.459431, 0.005118, 0.005974,-0.225146,-0.052626, 0.3649, 0.5519, 0.3638,3007.7017
    2.9966,   1.0362, -0.734, 0.459660, 0.005108, 0.005887,-0.235622,-0.052538, 0.3709, 0.5673, 0.3636,2091.0080
    3.2856,   0.9772, -0.738, 0.457602, 0.005099, 0.005889,-0.245636,-0.052345, 0.3780, 0.5788, 0.3637,1399.3329
    3.5543,   0.9223, -0.759, 0.452688, 0.005091, 0.005992,-0.254622,-0.052009, 0.3859, 0.5855, 0.3642,894.8659
    3.8011,   0.8719, -0.801, 0.444135, 0.005088, 0.006207,-0.261766,-0.051470, 0.3959, 0.5901, 0.3652,541.5075
    4.0245,   0.8263, -0.869, 0.430912, 0.005095, 0.006532,-0.265950,-0.050629, 0.4079, 0.5890, 0.3668,305.8951
    4.2231,   0.7858, -0.966, 0.411713, 0.005107, 0.006943,-0.265705,-0.049338, 0.4217, 0.5769, 0.3691,158.2088
    4.3957,   0.7505, -1.097, 0.385002, 0.005146, 0.007374,-0.259225,-0.047373, 0.4370, 0.5506, 0.3723,72.7642
    4.5411,   0.7208, -1.260, 0.349160, 0.005204, 0.007695,-0.244499,-0.044425, 0.4559, 0.5063, 0.3765,28.4006
    4.6585,   0.6969, -1.450, 0.302849, 0.005296, 0.007710,-0.219678,-0.040133, 0.4787, 0.4451, 0.3818, 8.6610
    4.7473,   0.6788, -1.650, 0.245692, 0.005424, 0.007211,-0.183809,-0.034219, 0.5070, 0.3673, 0.3885, 1.7391
    4.8067,   0.6666, -1.833, 0.179646, 0.005523, 0.006258,-0.138305,-0.026886, 0.5412, 0.2998, 0.3989, 0.1415
    4.8365,   0.6605, -1.976, 0.116368, 0.005609, 0.006989,-0.093664,-0.020896, 0.5757, 0.2452, 0.4292, 0.0000


Main Wing Cp Coefficients
Panel,CtrlPt.x,CtrlPt.y,CtrlPt.z,Nx,Ny,Nz,Area,Cp
  55,   3.338e-01,  -4.747e+00,   7.516e-03,      -0.070,      -0.004,       0.998,   2.573e-03,      0.3065
  56,   3.009e-01,  -4.747e+00,   5.142e-03,      -0.081,      -0.004,       0.997,   2.072e-03,      0.3159
  57,   2.749e-01,  -4.747e+00,   2.987e-03,      -0.090,      -0.005,       0.996,   1.518e-03,      0.3536
  58,   2.565e-01,  -4.747e+00,   1.311e-03,      -0.096,      -0.005,       0.995,   9.267e-04,      0.4850
  59,   2.462e-01,  -4.747e+00,   3.109e-04,      -0.099,      -0.005,       0.995,   3.116e-04,      1.0634
Strip 4
  60,   9.343e-01,  -4.659e+00,   7.110e-05,       0.066,      -0.010,       0.998,   4.439e-04,      0.0465
  61,   9.279e-01,  -4.659e+00,   4.916e-04,       0.065,      -0.010,       0.998,   1.321e-03,      0.0788
  62,   9.131e-01,  -4.659e+00,   1.439e-03,       0.062,      -0.010,       0.998,   2.164e-03,      0.1129
  63,   8.903e-01,  -4.659e+00,   2.833e-03,       0.058,      -0.009,       0.998,   2.955e-03,      0.1445
  64,   8.599e-01,  -4.659e+00,   4.555e-03,       0.053,      -0.008,       0.999,   3.671e-03,      0.1733
  65,   8.229e-01,  -4.659e+00,   6.462e-03,       0.047,      -0.008,       0.999,   4.297e-03,      0.1986
  66,   7.801e-01,  -4.659e+00,   8.396e-03,       0.040,      -0.007,       0.999,   4.817e-03,      0.2213
  67,   7.325e-01,  -4.659e+00,   1.020e-02,       0.032,      -0.006,       0.999,   5.218e-03,      0.2421
  68,   6.813e-01,  -4.659e+00,   1.175e-02,       0.024,      -0.005,       1.000,   5.491e-03,      0.2622
  69,   6.278e-01,  -4.659e+00,   1.292e-02,       0.015,      -0.005,       1.000,   5.628e-03,      0.2845
  70,   5.733e-01,  -4.659e+00,   1.364e-02,       0.007,      -0.004,       1.000,   5.628e-03,      0.3156
  71,   5.191e-01,  -4.659e+00,   1.386e-02,      -0.005,      -0.004,       1.000,   5.489e-03,      0.3550
  72,   4.666e-01,  -4.659e+00,   1.339e-02,      -0.023,      -0.004,       1.000,   5.216e-03,      0.3711
  73,   4.171e-01,  -4.659e+00,   1.206e-02,      -0.040,      -0.003,       0.999,   4.817e-03,      0.3762
  74,   3.717e-01,  -4.659e+00,   1.008e-02,      -0.056,      -0.004,       0.998,   4.299e-03,      0.3775
  75,   3.317e-01,  -4.659e+00,   7.717e-03,      -0.070,      -0.004,       0.998,   3.675e-03,      0.3814
  76,   2.979e-01,  -4.659e+00,   5.279e-03,      -0.081,      -0.004,       0.997,   2.959e-03,      0.3990
  77,   2.713e-01,  -4.659e+00,   3.067e-03,      -0.090,      -0.005,       0.996,   2.169e-03,      0.4564
  78,   2.524e-01,  -4.659e+00,   1.346e-03,      -0.096,      -0.005,       0.995,   1.324e-03,      0.6409
  79,   2.417e-01,  -4.659e+00,   3.192e-04,      -0.099,      -0.005,       0.995,   4.451e-04,      1.4247
Strip 5
  80,   9.522e-01,  -4.541e+00,   7.354e-05,       0.066,      -0.010,       0.998,   5.855e-04,      0.0503
  81,   9.456e-01,  -4.541e+00,   5.085e-04,       0.065,      -0.010,       0.998,   1.742e-03,      0.0856
  82,   9.303e-01,  -4.541e+00,   1.489e-03,       0.062,      -0.010,       0.998,   2.855e-03,      0.1234
  83,   9.067e-01,  -4.541e+00,   2.931e-03,       0.058,      -0.009,       0.998,   3.897e-03,      0.1590
  84,   8.753e-01,  -4.541e+00,   4.712e-03,       0.053,      -0.008,       0.999,   4.842e-03,      0.1924
  85,   8.370e-01,  -4.541e+00,   6.684e-03,       0.047,      -0.008,       0.999,   5.668e-03,      0.2227
  86,   7.927e-01,  -4.541e+00,   8.685e-03,       0.040,      -0.007,       0.999,   6.354e-03,      0.2507
  87,   7.435e-01,  -4.541e+00,   1.056e-02,       0.032,      -0.006,       0.999,   6.882e-03,      0.2765
  88,   6.905e-01,  -4.541e+00,   1.215e-02,       0.024,      -0.005,       1.000,   7.242e-03,      0.3013
  89,   6.352e-01,  -4.541e+00,   1.336e-02,       0.015,      -0.005,       1.000,   7.423e-03,      0.3278
  90,   5.788e-01,  -4.541e+00,   1.411e-02,       0.007,      -0.004,       1.000,   7.423e-03,      0.3626
  91,   5.228e-01,  -4.541e+00,   1.433e-02,      -0.005,      -0.004,       1.000,   7.240e-03,      0.4049
  92,   4.685e-01,  -4.541e+00,   1.385e-02,      -0.023,      -0.004,       1.000,   6.880e-03,      0.4234
  93,   4.172e-01,  -4.541e+00,   1.248e-02,      -0.040,      -0.003,       0.999,   6.353e-03,      0.4308
  94,   3.703e-01,  -4.541e+00,   1.043e-02,      -0.056,      -0.004,       0.998,   5.670e-03,      0.4351
  95,   3.289e-01,  -4.541e+00,   7.982e-03,      -0.070,      -0.004,       0.998,   4.847e-03,      0.4440
  96,   2.939e-01,  -4.541e+00,   5.460e-03,      -0.081,      -0.004,       0.997,   3.903e-03,      0.4712
  97,   2.664e-01,  -4.541e+00,   3.172e-03,      -0.090,      -0.005,       0.996,   2.861e-03,      0.5487
  98,   2.468e-01,  -4.541e+00,   1.392e-03,      -0.096,      -0.005,       0.995,   1.746e-03,      0.7843
  99,   2.358e-01,  -4.541e+00,   3.302e-04,      -0.099,      -0.005,       0.995,   5.870e-04,      1.7602
Strip 6
 100,   9.744e-01,  -4.396e+00,   7.657e-05,       0.066,      -0.010,       0.998,   7.374e-04,      0.0534
 101,   9.675e-01,  -4.396e+00,   5.294e-04,       0.065,      -0.010,       0.998,   2.194e-03,      0.0911
 102,   9.516e-01,  -4.396e+00,   1.550e-03,       0.062,      -0.010,       0.998,   3.596e-03,      0.1316
 103,   9.270e-01,  -4.396e+00,   3.051e-03,       0.058,      -0.009,       0.998,   4.908e-03,      0.1703
 104,   8.944e-01,  -4.396e+00,   4.906e-03,       0.053,      -0.008,       0.999,   6.099e-03,      0.2070
 105,   8.545e-01,  -4.396e+00,   6.960e-03,       0.047,      -0.008,       0.999,   7.138e-03,      0.2408
 106,   8.083e-01,  -4.396e+00,   9.042e-03,       0.040,      -0.007,       0.999,   8.002e-03,      0.2724
 107,   7.571e-01,  -4.396e+00,   1.099e-02,       0.032,      -0.006,       0.999,   8.668e-03,      0.3018
 108,   7.020e-01,  -4.396e+00,   1.265e-02,       0.024,      -0.005,       1.000,   9.121e-03,      0.3301
 109,   6.443e-01,  -4.396e+00,   1.391e-02,       0.015,      -0.005,       1.000,   9.349e-03,      0.3597
 110,   5.856e-01,  -4.396e+00,   1.469e-02,       0.007,      -0.004,       1.000,   9.348e-03,      0.3972
 111,   5.273e-01,  -4.396e+00,   1.492e-02,      -0.005,      -0.004,       1.000,   9.118e-03,      0.4420
 112,   4.707e-01,  -4.396e+00,   1.442e-02,      -0.023,      -0.004,       1.000,   8.665e-03,      0.4627
 113,   4.174e-01,  -4.396e+00,   1.299e-02,      -0.040,      -0.003,       0.999,   8.002e-03,      0.4726
 114,   3.685e-01,  -4.396e+00,   1.086e-02,      -0.056,      -0.004,       0.998,   7.141e-03,      0.4802
 115,   3.254e-01,  -4.396e+00,   8.311e-03,      -0.070,      -0.004,       0.998,   6.105e-03,      0.4942
 116,   2.890e-01,  -4.396e+00,   5.685e-03,      -0.081,      -0.004,       0.997,   4.916e-03,      0.5305
 117,   2.603e-01,  -4.396e+00,   3.303e-03,      -0.090,      -0.005,       0.996,   3.603e-03,      0.6260
 118,   2.400e-01,  -4.396e+00,   1.450e-03,      -0.096,      -0.005,       0.995,   2.199e-03,      0.9060
 119,   2.285e-01,  -4.396e+00,   3.438e-04,      -0.099,      -0.005,       0.995,   7.393e-04,      2.0469
Strip 7
 120,   1.001e+00,  -4.223e+00,   8.017e-05,       0.066,      -0.010,       0.998,   9.010e-04,      0.0557
 121,   9.935e-01,  -4.223e+00,   5.543e-04,       0.065,      -0.010,       0.998,   2.680e-03,      0.0952
 122,   9.769e-01,  -4.223e+00,   1.623e-03,       0.062,      -0.010,       0.998,   4.393e-03,      0.1378
 123,   9.511e-01,  -4.223e+00,   3.195e-03,       0.058,      -0.009,       0.998,   5.997e-03,      0.1787
 124,   9.169e-01,  -4.223e+00,   5.136e-03,       0.053,      -0.008,       0.999,   7.452e-03,      0.2177
 125,   8.752e-01,  -4.223e+00,   7.286e-03,       0.047,      -0.008,       0.999,   8.722e-03,      0.2539
 126,   8.269e-01,  -4.223e+00,   9.467e-03,       0.040,      -0.007,       0.999,   9.777e-03,      0.2880
